file	verdict	wall_ms	euf_online_outcome	euf_online_ms	decided_by	bound_by	atoms_line
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/20170829-Rodin/smt1300175744189082250.smt2	unsat	207	not-reached		qf-bv		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_at.4.prop1_ab_cti_max.smt2	sat	707	decided	17	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp2.6.prop2_ab_cti_max.smt2	sat	507	decided	3	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp.3.prop1_ab_reg_max.smt2	unsat	206	decided	13	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.7.prop2_ab_fp_max.smt2	sat	3109	decided	1763	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_dyn_partition_ab_reg_max.smt2	sat	107	decided	3	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_extinction.3.prop1_ab_reg_max.smt2	sat	106	decided	2	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_fischer.5.prop1_ab_cti_max.smt2	sat	408	decided	4	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_hanoi.3.prop1_ab_br_max.smt2	sat	6313	declined	1076	ufbv-declared-sort-lazy		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_h_Arbiter_ab_reg_max.smt2	unsat	108	declined	1	ufbv-declared-sort-lazy		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_Heap_ab_cti_max.smt2	sat	406	declined	15	ufbv-declared-sort-lazy		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lamport.5.prop1_ab_reg_max.smt2	sat	107	decided	0	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_leader_election.5.prop1_ab_cti_max.smt2	sat	1209	decided	289	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_loyd.3.prop1_ab_br_max.smt2	unsat	609	decided	28	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.1.prop4_ab_cti_max.smt2	sat	709	decided	5	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_peg_solitaire.4.prop1_ab_reg_max.smt2	sat	508	decided	6	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.3.prop5_ab_cti_max.smt2	sat	909	decided	141	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.8.prop5_ab_reg_max.smt2	sat	108	decided	0	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_reader_writer.1.prop1_ab_cti_max.smt2	sat	609	decided	3	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_rushhour.3.prop1_ab_cti_max.smt2	unsolved	24225	declined	22953			euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_sw_sym_ex_v_ab_reg_max.smt2	unsat	110	decided	0	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_telephony.4.prop1_ab_reg_max.smt2	unsat	709	decided	9	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/20190906-CLEARSY/0001/00435.smt2	unsat	108	decided	3	euf-online		euf-online-atoms policy=refuse entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
